Date,Close/Last,Volume,Open,High,Low
03/29/2021,$86.59,523617,$87.22,$87.99,$84.69
03/26/2021,$86.09,754383,$87.82,$87.82,$82.56
03/25/2021,$84.72,773318,$85.1,$86.9,$81.8
03/24/2021,$83.65,646240,$89.13,$90.2,$83.65
03/23/2021,$88.3,710326,$94,$94.93,$88.02
03/22/2021,$94.29,2078935,$95.49,$96.88,$93.65
03/19/2021,$95.64,1291640,$90.11,$96.11,$90
03/18/2021,$89.52,696702,$90.8,$92.9,$88.51
03/17/2021,$94.29,769316,$91.08,$94.32,$88.23
03/16/2021,$93.61,1001443,$94,$94.09,$91.65
03/15/2021,$89.86,890721,$88.88,$90.3,$86.64
03/12/2021,$87.79,668174,$84.4,$88.2624,$83.03
03/11/2021,$86.6,1185288,$86.61,$89.9,$83.01
03/10/2021,$85.68,864220,$88.99,$91.24,$83.23
03/09/2021,$84.8,714801,$81.01,$85.9,$81.01
03/08/2021,$79.79,964431,$81.34,$85.35,$79.02
03/05/2021,$82.69,1272868,$83,$83.38,$76.6402
03/04/2021,$81.33,1310069,$87.01,$87.2,$79.6
03/03/2021,$83.56,1137934,$93.27,$93.47,$82.94
03/02/2021,$92.84,598584,$95.91,$96.73,$91.5501
03/01/2021,$96.18,741825,$95.5,$97,$94.98
02/26/2021,$94.3,515142,$94.79,$96.71,$92.0101
02/25/2021,$92.97,1176427,$99.83,$100.2,$91.13
02/24/2021,$98.17,843110,$102.2,$103.41,$98.11
02/23/2021,$100.1,745691,$100.05,$101.4083,$92.02
02/22/2021,$102.95,745563,$104.85,$106.24,$102.3512
02/19/2021,$104.25,968317,$109.1,$110.12,$103.6
02/18/2021,$106.26,686147,$110.42,$110.62,$102.2
02/17/2021,$110,847283,$111.12,$111.75,$105.51
02/16/2021,$113,1226696,$118.1,$119.21,$111.08
02/12/2021,$116.96,841927,$119.68,$120.9899,$114.75
02/11/2021,$114.58,619172,$117.2,$117.92,$112.04
02/10/2021,$115.98,805143,$121.63,$122,$115
02/09/2021,$114.33,1503617,$117.2,$121,$109.73
02/08/2021,$126.29,1379835,$127.17,$133,$123.5
02/05/2021,$120.43,1043619,$115.99,$120.725,$115.1
02/04/2021,$109.99,1070924,$108.664,$113.1,$107.11
02/03/2021,$105.25,1323329,$105.54,$108.4494,$102
02/02/2021,$98.7,842451,$99.5,$100.38,$96
02/01/2021,$94.55,1818558,$99.25,$101.5,$93.75
01/29/2021,$89.29,1580684,$92,$92,$86.65
01/28/2021,$84.53,3015268,$84.89,$88.47,$84
01/27/2021,$94.49,614244,$96.33,$101.3707,$92.88
01/26/2021,$98.73,478070,$102,$104,$98.5
01/25/2021,$104.5,337519,$103.93,$105.88,$101
01/22/2021,$102.69,230420,$100.05,$103.25,$99.82
01/21/2021,$101.07,282020,$102,$103.17,$98.6
01/20/2021,$101.05,339468,$103.4,$104.17,$98.98
01/19/2021,$103.23,403603,$101,$106.7199,$100.505
01/15/2021,$100.35,402099,$100.45,$103.6,$98.27
01/14/2021,$100.59,257267,$99.48,$101.79,$98.485
01/13/2021,$98.25,263172,$99.29,$100.98,$96.75
01/12/2021,$101.8,342546,$103.95,$104.5,$97.65
01/11/2021,$103.25,418071,$103.41,$103.8418,$99
01/08/2021,$107.62,656331,$107.71,$109.17,$102.02
01/07/2021,$101.19,1364282,$102,$104.3,$96.12
01/06/2021,$86.85,317986,$85.8,$90,$85.57
01/05/2021,$86,259850,$85.01,$87.5,$85.01
01/04/2021,$85.1,383713,$83.02,$87.55,$82.8
12/31/2020,$81.07,344383,$81.5,$83.08,$79.1
12/30/2020,$81.76,439778,$90.21,$90.21,$80.9088
12/29/2020,$84.87,878163,$81.097,$86.7,$80.05
12/28/2020,$87.88,792951,$91.124,$93.6,$87.5
12/24/2020,$101.73,145110,$102.81,$103.7052,$100
12/23/2020,$101.14,531124,$103.25,$104.7,$97.5
12/22/2020,$108.84,435347,$112.4,$113.64,$104.476
12/21/2020,$111.3,390099,$109,$113.94,$107.5123
12/18/2020,$104.33,420834,$108.72,$110.0396,$103
12/17/2020,$111.28,990485,$105.36,$113,$103.49
12/16/2020,$116.22,554319,$120.04,$121.45,$111.02
12/15/2020,$121.38,461651,$122.54,$126.7099,$118.22
12/14/2020,$121.06,730440,$126.35,$129.44,$118.6501
12/11/2020,$118.08,830320,$119.433,$121.82,$115
12/10/2020,$128.95,1069163,$126.61,$133,$123.0135
12/09/2020,$136.27,2717910,$139.15,$151.8,$116.92
12/08/2020,$130.05,1212429,$119.4,$131.9,$118.74
12/07/2020,$114.33,880989,$108.931,$118.32,$108.46
12/04/2020,$106.15,497856,$101.97,$106.68,$101.1
12/03/2020,$102.5,318173,$101.99,$103.8,$101
12/02/2020,$102.66,514498,$97,$103.41,$96.9001
12/01/2020,$97.13,1262620,$99.54,$105,$93.02
11/30/2020,$105.17,1566330,$90.9442,$106.5,$90.9442
11/27/2020,$86,461688,$84.65,$86,$83
11/25/2020,$81.79,307302,$82.0184,$82.0184,$79.21
11/24/2020,$82.1,631211,$82.384,$84.95,$76.29
11/23/2020,$85.06,577870,$82.73,$85.06,$81.7
11/20/2020,$79.69,391511,$77.81,$79.93,$76.71
11/19/2020,$75.2,281399,$75.62,$75.95,$73.51
11/18/2020,$74.64,421701,$76.39,$77.75,$72.22
11/17/2020,$76.49,1161727,$71.505,$77.8,$70.16
11/16/2020,$85.68,1394349,$79.2,$85.68,$77.52
11/13/2020,$75.2,752552,$72.3,$75.2,$71.14
11/12/2020,$69.69,1266514,$64.8,$71.97,$64.67
11/11/2020,$61.94,518737,$61,$61.94,$58.51
11/10/2020,$61.3,929564,$59.75,$61.3,$56.11
11/09/2020,$54.66,659428,$54,$55.5,$51.43
11/06/2020,$50.48,198813,$51.129,$51.4,$50.21
11/05/2020,$50.15,435485,$50.3,$50.97,$48.58
11/04/2020,$48.88,207313,$48.13,$49.4999,$48.05
